Sample Number,Parameter Values,Tumor Reduction,Reason For Rejection,Rejection Category
1,"{""drug_diffusion"": 4.4434657282698093e-10, ""drug_efficacy"": 0.46679132814552804, ""drug_loading"": 0.32087458917247624, ""np_diffusion"": 2.1446114016061233e-10, ""particle_size_nm"": 63.43710975273702, ""release_rate"": 0.033285185098583074, ""tumor_growth_rate"": 0.026155810267471963, ""uptake_rate"": 0.024185756987531237}",-135.4550332,final tumor volume exceeds the initial tumor volume.,Treatment failure
3,"{""drug_diffusion"": 9.559764680614689e-09, ""drug_efficacy"": 0.3000893547123936, ""drug_loading"": 0.4965227025915351, ""np_diffusion"": 9.82308813650591e-09, ""particle_size_nm"": 189.53133520803297, ""release_rate"": 0.014236972263527714, ""tumor_growth_rate"": 0.0485893375843091, ""uptake_rate"": 0.022783562702260386}",-1197.54678601,final tumor volume exceeds the initial tumor volume.,Treatment failure
6,"{""drug_diffusion"": 7.569323579014228e-09, ""drug_efficacy"": 0.4563109654383034, ""drug_loading"": 0.30056365953205566, ""np_diffusion"": 9.96953226517934e-09, ""particle_size_nm"": 31.45856189209085, ""release_rate"": 0.16684602411423738, ""tumor_growth_rate"": 0.041517046278776316, ""uptake_rate"": 0.09357270406193781}",-190.838276325,final tumor volume exceeds the initial tumor volume.,Treatment failure
8,"{""drug_diffusion"": 9.134360249250698e-09, ""drug_efficacy"": 0.3033601886542838, ""drug_loading"": 0.9629054296869906, ""np_diffusion"": 4.04390390205953e-10, ""particle_size_nm"": 84.89336714972858, ""release_rate"": 0.1919747612242554, ""tumor_growth_rate"": 0.01976118042748538, ""uptake_rate"": 0.017013033975605243}",-11.9890867223,final tumor volume exceeds the initial tumor volume.,Treatment failure
13,"{""drug_diffusion"": 7.995560404417531e-09, ""drug_efficacy"": 0.7315089286048283, ""drug_loading"": 0.9571639280495086, ""np_diffusion"": 6.8604914198429e-10, ""particle_size_nm"": 30.22612507411693, ""release_rate"": 0.07375327261837042, ""tumor_growth_rate"": 0.04452782234174007, ""uptake_rate"": 0.08014059204304143}",-50.5972511538,final tumor volume exceeds the initial tumor volume.,Treatment failure
14,"{""drug_diffusion"": 5.315753554532102e-10, ""drug_efficacy"": 0.48280467360211643, ""drug_loading"": 0.996825264037912, ""np_diffusion"": 7.817637384487607e-09, ""particle_size_nm"": 178.39944686591375, ""release_rate"": 0.012165670536542814, ""tumor_growth_rate"": 0.04338192196119387, ""uptake_rate"": 0.03101835027346167}",-831.335205259,final tumor volume exceeds the initial tumor volume.,Treatment failure
15,"{""drug_diffusion"": 5.4899801174012705e-09, ""drug_efficacy"": 0.623572435653353, ""drug_loading"": 0.3203216640676592, ""np_diffusion"": 1.6435190557060083e-09, ""particle_size_nm"": 195.09835538496267, ""release_rate"": 0.01086222441620661, ""tumor_growth_rate"": 0.04618689198249755, ""uptake_rate"": 0.0901993169806548}",-902.148691648,final tumor volume exceeds the initial tumor volume.,Treatment failure
16,"{""drug_diffusion"": 5.630791355987709e-09, ""drug_efficacy"": 0.574800149408285, ""drug_loading"": 0.9331430304593868, ""np_diffusion"": 8.947366540784304e-09, ""particle_size_nm"": 47.818724112128635, ""release_rate"": 0.12956828984235078, ""tumor_growth_rate"": 0.04947239478356407, ""uptake_rate"": 0.010809996069893784}",-178.800262023,final tumor volume exceeds the initial tumor volume.,Treatment failure
17,"{""drug_diffusion"": 9.806961897910845e-09, ""drug_efficacy"": 0.31385512225858025, ""drug_loading"": 0.4279335535126922, ""np_diffusion"": 4.680039089758396e-09, ""particle_size_nm"": 121.3012612068801, ""release_rate"": 0.03527166532755807, ""tumor_growth_rate"": 0.013449840721066166, ""uptake_rate"": 0.023058869188108674}",-12.2868585382,final tumor volume exceeds the initial tumor volume.,Treatment failure
19,"{""drug_diffusion"": 4.081831039516889e-09, ""drug_efficacy"": 0.34854116329417467, ""drug_loading"": 0.3122817155979547, ""np_diffusion"": 1.7528054796342462e-09, ""particle_size_nm"": 193.506164385617, ""release_rate"": 0.1888219277827292, ""tumor_growth_rate"": 0.04722763411520998, ""uptake_rate"": 0.03113728009964272}",-534.708627068,final tumor volume exceeds the initial tumor volume.,Treatment failure
20,"{""drug_diffusion"": 7.1582464528235706e-09, ""drug_efficacy"": 0.3667702843949729, ""drug_loading"": 0.9258288322538926, ""np_diffusion"": 7.940832979135841e-09, ""particle_size_nm"": 177.24933442944092, ""release_rate"": 0.10274367872512515, ""tumor_growth_rate"": 0.04967286340329762, ""uptake_rate"": 0.08437411437406395}",-611.568091493,final tumor volume exceeds the initial tumor volume.,Treatment failure
22,"{""drug_diffusion"": 8.996232542963719e-10, ""drug_efficacy"": 0.30096780854044025, ""drug_loading"": 0.21796520795658758, ""np_diffusion"": 9.086578495157715e-09, ""particle_size_nm"": 32.87833052657441, ""release_rate"": 0.014140982804253664, ""tumor_growth_rate"": 0.01769447328786982, ""uptake_rate"": 0.011235282347300542}",-127.914917932,final tumor volume exceeds the initial tumor volume.,Treatment failure
30,"{""drug_diffusion"": 1.5019889076410155e-10, ""drug_efficacy"": 0.9966439563766172, ""drug_loading"": 0.5076680603909414, ""np_diffusion"": 8.038601839841461e-10, ""particle_size_nm"": 148.1339285716945, ""release_rate"": 0.026001218515415724, ""tumor_growth_rate"": 0.03944600461517277, ""uptake_rate"": 0.08512115291001063}",-123.896652347,final tumor volume exceeds the initial tumor volume.,Treatment failure
31,"{""drug_diffusion"": 2.6381164110517715e-10, ""drug_efficacy"": 0.8061190690239797, ""drug_loading"": 0.9702769874135586, ""np_diffusion"": 8.825774011026322e-09, ""particle_size_nm"": 56.82072678087375, ""release_rate"": 0.10111382585873313, ""tumor_growth_rate"": 0.04833809459468028, ""uptake_rate"": 0.08855282399282599}",-8.99428365136,final tumor volume exceeds the initial tumor volume.,Treatment failure
35,"{""drug_diffusion"": 5.949787301645992e-09, ""drug_efficacy"": 0.925727814807171, ""drug_loading"": 0.2896191970920196, ""np_diffusion"": 7.91011743434984e-09, ""particle_size_nm"": 41.07905629918225, ""release_rate"": 0.01429893717388633, ""tumor_growth_rate"": 0.04380338462212251, ""uptake_rate"": 0.0899343454355778}",-416.150368802,final tumor volume exceeds the initial tumor volume.,Treatment failure
37,"{""drug_diffusion"": 1.3447872317126087e-09, ""drug_efficacy"": 0.3312067512134852, ""drug_loading"": 0.3058230443665748, ""np_diffusion"": 9.530594039703699e-09, ""particle_size_nm"": 179.26257619970693, ""release_rate"": 0.07744865458749904, ""tumor_growth_rate"": 0.043884004802418275, ""uptake_rate"": 0.08398016357959853}",-551.560083967,final tumor volume exceeds the initial tumor volume.,Treatment failure
38,"{""drug_diffusion"": 5.4741970390848934e-09, ""drug_efficacy"": 0.34521199173676015, ""drug_loading"": 0.25411291691847093, ""np_diffusion"": 6.444517333497914e-09, ""particle_size_nm"": 55.7151531255682, ""release_rate"": 0.11501259460677152, ""tumor_growth_rate"": 0.04126873268986858, ""uptake_rate"": 0.012081615861936523}",-375.769499664,final tumor volume exceeds the initial tumor volume.,Treatment failure
