Rank,Particle Size (nm),Release Rate,Diffusion Coefficient (m^2/s),Average Drug Concentration,Final Tumor Volume,Objective Score
1,40,0.09,1e-07,0.03145446598,50000,0.69925
2,40,0.07,1e-07,0.03143020456,53368.56816,0.6986595483
3,60,0.09,8.333333333e-08,0.02958045942,50869.25849,0.6575320856
4,60,0.07,8.333333333e-08,0.02955764346,55566.20047,0.656953876
5,60,0.05,8.333333333e-08,0.02938711384,75490.02096,0.6528599858
6,80,0.09,7.5e-08,0.02848207948,51889.75405,0.6330730009
7,80,0.07,7.5e-08,0.02846011072,57080.3894,0.6325062399
8,60,0.09,6.666666667e-08,0.0272526415,53153.6323,0.6056936486
9,60,0.07,6.666666667e-08,0.02723162102,59036.91537,0.6051376015
10,60,0.05,6.666666667e-08,0.02707451114,85800.66139,0.6012397604
